,Q,Energy,Intensity,Error,Temp
16,0.5,1.3,0.01784491524028649,0.0036251870569452946,0.058
15,0.5,1.4,0.0192885841135214,0.00367309278347405,0.058
14,0.5,1.5,0.021107979925734655,0.0039429914475406355,0.058
13,0.5,1.6,0.019430508648258606,0.004053528093939669,0.059
12,0.5,1.7,0.04060316514336611,0.005996625098504643,0.059
11,0.5,1.8,0.14718614718614717,0.024825710954816248,0.059
10,0.5,1.9,0.23468599033816429,0.03471800226404301,0.059
9,0.5,2.0,0.1656970877534725,0.029241246778327387,0.059
8,0.5,2.3,0.12036596149921773,0.025057552309203392,0.061
7,0.5,2.6,0.11603610876665077,0.01924189279028554,0.062
6,0.5,2.9,0.1826690705435575,0.03260332863072099,0.062
5,0.5,3.2,0.27951070336391437,0.04936430931187687,0.064
4,0.5,3.8,0.37037037037037035,0.06650843032838342,0.065
3,0.5,4.4,0.25604104601125455,0.061142513026945594,0.066
2,0.5,5.0,0.11079987550575787,0.05024744384902875,0.066
1,0.5,5.6,0.1759198061246971,0.04196403081241264,0.064
0,0.5,6.2,0.23308240246074144,0.05352467290308747,0.061
