,Q,Energy,Intensity,Error,Temp
0,0.75,3.5,0.02400003719981017,0.01766349306345419,0.058
1,0.7,3.5,-0.01199997360005807,0.015491899302651203,0.061
2,0.65,3.5,0.025999942800125853,0.01777634972666178,0.062
3,0.6,3.5,0.059999993999862014,0.019595887691120435,0.063
4,0.55,3.5,0.16599958840101686,0.02441305372152231,0.064
5,0.5,3.5,0.32199944680093767,0.0301329823550451,0.064
6,0.45,3.5,0.15399948520166057,0.0239164541521898,0.064
7,0.4,3.5,0.1219998068002897,0.02253881242669124,0.065
8,0.35,3.5,0.03999997559995193,0.018547203045298902,0.065
9,0.3,3.5,0.0,0.016248041063581582,0.065
10,0.25,3.5,0.023999983199972166,0.017663486949174734,0.066
11,0.2,3.5,0.04199982120065257,0.01865470780279736,0.066
12,0.15,3.5,0.05799997159992361,0.01949355598148719,0.066
13,0.1,3.5,0.18199974840031546,0.025059884916051108,0.066
14,0.05,3.5,0.38399924520148054,0.03212469173724032,0.067
15,-0.0,3.5,0.41399908920200373,0.03304535058394533,0.067
16,-0.05,3.5,0.3279992784015875,0.030331435047049098,0.067
17,-0.1,3.5,0.2499993868015007,0.027640484540124067,0.067
18,-0.15,3.5,0.13599970080065826,0.023151622872010134,0.067
19,-0.2,3.5,0.033999925200164566,0.01822082707246904,0.067
20,-0.25,3.5,0.007999997199976572,0.016733165486652327,0.067
